"","Organism","Limb.Width","UnitsW","Limb.Length","UnitsL"
"1","Pan paniscus",3.23347424933566,"mm",178.856128294783,"cm"
"2","Elephas maximus indicus",18.8254606679882,"mm",242.286255824561,"mm"
"3","Vulpes lagopus",3.9949253658769,"cm",104.453466505486,"cm"
"4","Ursus arctos",6.66984503397091,"cm",171.870902791608,"cm"
"5","Spheniscus mendiculus",27.5407260658675,"mm",1.59652871208523,"cm"
"6","Dermochelys coriacea",1.62089576630246,"mm",29.9667052673903,"cm"
"7","Hippopotamus amphibius",8.13202102978224,"cm",51.4723756013455,"cm"
"8","Panthera onca",9.18412970656829,"cm",241.454430947305,"cm"
"9","Mustela nigripes",2.35529403000847,"mm",61.0169330414977,"cm"
"10","Ateles paniscus",2.46479053141268,"mm",114.106301484863,"mm"
